data: {"type":"response.created","response":{"id":"resp_rPycdxtcxJ6ZQh-Rrzj3_iLzBgRKq5XH3ifztNJEkP0Tuepjscv8VzrP7_HPlwhPDiNOmhpiv5MMgwsmWXMXh1me5_O8lAb5pBQkTuSkAH0b5fuRrXSyd5fH6FKVw_FEuJ9cll549agoc6XGd1araAXKtFJciusTndhzCsW1qZ9kToUzG88Q_pGIEk7hOSGWJWqeOKv-fXfI4GZ_wvSaWEBL2u80FLjcqSC--5Xvnw2tenatHrYG4ZxWBqETC8NA-t40E8KIdmobHPTz29azpf2iEUEwm90-eIJjUjszoAkwkN97aa8lIE4lmCpJ1Is6kD6-HHwXvHisyMYD3mVovtWVWyTBUHRIrOm8hLUX0OSpM1WqPvSSttHVYYI6VNEvH4BYd_mENMxMMKhS9EFORjHHtYazbH9bzDOS0Fv3","created_at":1788043320,"metadata":{"_litellm_tpm_reserved_model":"qwen3.8-max"},"model":"qwen3.8-max","object":"response","output":[],"parallel_tool_calls":true,"temperature":0.0,"tool_choice":"none","tools":[],"top_p":1.0,"max_output_tokens":32000,"reasoning":{"effort":"low","generate_summary":null,"summary":null},"status":"queued","store":false,"background":false,"service_tier":"default","top_logprobs":0,"completed_at":1788043320,"frequency_penalty":0.0,"presence_penalty":0.0},"sequence_number":0,"model":"qwen3.8-max"}

data: {"type":"response.in_progress","response":{"id":"resp_rPycdxtcxJ6ZQh-Rrzj3_iLzBgRKq5XH3ifztNJEkP0Tuepjscv8VzrP7_HPlwhPDiNOmhpiv5MMgwsmWXMXh1me5_O8lAb5pBQkTuSkAH0b5fuRrXSyd5fH6FKVw_FEuJ9cll549agoc6XGd1araAXKtFJciusTndhzCsW1qZ9kToUzG88Q_pGIEk7hOSGWJWqeOKv-fXfI4GZ_wvSaWEBL2u80FLjcqSC--5Xvnw2tenatHrYG4ZxWBqETC8NA-t40E8KIdmobHPTz29azpf2iEUEwm90-eIJjUjszoAkwkN97aa8lIE4lmCpJ1Is6kD6-HHwXvHisyMYD3mVovtWVWyTBUHRIrOm8hLUX0OSpM1WqPvSSttHVYYI6VNEvH4BYd_mENMxMMKhS9EFORjHHtYazbH9bzDOS0Fv3","created_at":1788043320,"metadata":{"_litellm_tpm_reserved_model":"qwen3.8-max"},"model":"qwen3.8-max","object":"response","output":[],"parallel_tool_calls":true,"temperature":0.0,"tool_choice":"none","tools":[],"top_p":1.0,"max_output_tokens":32000,"reasoning":{"effort":"low","generate_summary":null,"summary":null},"status":"in_progress","store":false,"background":false,"service_tier":"default","top_logprobs":0,"completed_at":1788043320,"frequency_penalty":0.0,"presence_penalty":0.0},"sequence_number":1,"model":"qwen3.8-max"}

data: {"type":"response.output_item.added","output_index":0,"item":{"id":"msg_9270ec75-207e-4251-bdef-81ca44305716","summary":[],"type":"reasoning"},"sequence_number":2,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":"The","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":3,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" user is saying","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":4,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" that the maximum number","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":5,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" of steps has been","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":6,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" reached and tools are","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":7,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" disabled. I","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":8,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" need to summarize the","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":9,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" work done so far","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":10,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" and provide recommendations.","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":11,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":"\n\nWait","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":12,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":", but I haven","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":13,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":"'t made any fixes","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":14,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" yet. Let me","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":15,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" review what I","item_id":"msg_9270ec75-207e-4251-bdef-81ca44305716","output_index":0,"sequence_number":16,"model":"qwen3.8-max"}

